diffusion_amount_m2,log_likelihood,likelihood
0.0,-0.4001695818454014,0.012216749559734228
0.025,0.17369762749093087,0.021686178762167992
0.05,0.34061219772942464,0.02562554497272274
0.07500000000000001,0.4424586913827052,0.028372949194727447
0.1,0.5127577814982355,0.030439322876913817
0.125,0.5628248125514403,0.03200212539803344
0.15000000000000002,0.6020940783223668,0.033283826391621044
0.17500000000000002,0.63892631680903,0.0345326006260649
0.2,0.6775106631444541,0.03589105750424193
0.22500000000000006,0.7162873971340542,0.03731013120577791
0.25,0.7514689134323675,0.03864612147889757
0.275,0.7803656673751223,0.039779160677925036
0.30000000000000004,0.8022198275045793,0.04065806975442551
0.32500000000000007,0.8182429792417927,0.04131478746874387
0.35000000000000003,0.8281986474674983,0.04172815806156182
0.375,0.8295422369328307,0.04178426125653198
0.4,0.8203129343250519,0.04140039579520657
0.42500000000000004,0.7997212828929559,0.04055661055626982
0.4500000000000001,0.769473918767456,0.03934824702154447
0.475,0.7286713831782574,0.03777505219566731
0.5,0.6735372230483607,0.03574872949044066
0.525,0.6041243445742701,0.033351470065176456
0.55,0.5239917296784047,0.03078320461101543
0.575,0.4350844812281036,0.028164490657835422
0.6000000000000001,0.3357363929369508,0.025500903927367233
0.625,0.22322363672214407,0.02278724941746207
0.6500000000000001,0.0976029909786078,0.02009719991621485
0.675,-0.03785563398824876,0.017551192086170002
0.7000000000000001,-0.18036138293218973,0.01522008784043606
0.7250000000000001,-0.33092696792845855,0.013092643908722949
0.75,-0.4915795629030244,0.01114953668165737
0.775,-0.6619122390832002,0.009403343031016803
0.8,-0.839501632278951,0.007873288867636953
0.8250000000000001,-1.022673803765141,0.006555495483319399
0.8500000000000001,-1.2116021243709605,0.005426939691598116
0.8750000000000001,-1.4061448138125083,0.004467516640875447
0.9000000000000002,-1.6058820073193558,0.003658654655636528
0.925,-1.809789958135964,0.002983769841777726
0.95,-2.0172028921655505,0.0024248619976041945
0.975,-2.2279360570396,0.001964114386218212
1.0,-2.4418615776343264,0.0015858426859348248
1.025,-2.6597632719916486,0.0012753418173757657
1.05,-2.8812931550413166,0.0010219211658670378
1.0750000000000002,-3.1077082667740523,0.000814866681549587
1.1,-3.339786379719575,0.0006460949057991796
1.125,-3.578108370168512,0.0005090897950077454
1.15,-3.8244530949484705,0.0003979314247296408
1.175,-4.079623102601517,0.0003083112063598049
1.2000000000000002,-4.34500552584176,0.00023644775155602345
1.225,-4.621743830731111,0.000179287193842096
1.25,-4.911244006246239,0.00013422114553729024
1.2750000000000001,-5.214594656676193,9.910086095492967e-05
1.3000000000000003,-5.532136153098742,7.213913123325382e-05
1.325,-5.8655209938276744,5.168728390027398e-05
1.35,-6.214900552750176,3.6446018948254996e-05
1.375,-6.580214595039293,2.5292760048101453e-05
1.4000000000000001,-6.962118223333762,1.7263847280980193e-05
1.425,-7.360456340359294,1.159155070667837e-05
1.4500000000000002,-7.774572748073534,7.661134176734361e-06
1.475,-8.203883907487377,4.987071572251895e-06
1.5,-8.648404813740765,3.197368001936371e-06
1.525,-9.106988168494574,2.021307576752053e-06
1.55,-9.578499540280879,1.2614139135521595e-06
1.575,-10.062385224829324,7.775149248876749e-07
1.6,-10.557864410836942,4.737234221681259e-07
1.6250000000000002,-11.063499495242217,2.857132168495695e-07
1.6500000000000001,-11.578744456916946,1.7067200373693335e-07
1.675,-12.102328372513261,1.0110501126254435e-07
1.7000000000000002,-12.633150372983069,5.946201419062504e-08
1.725,-13.170472964201426,3.4744285084776356e-08
1.7500000000000002,-13.713141029606264,2.019322263697872e-08
1.7750000000000001,-14.260351949085333,1.168301544347744e-08
1.8000000000000005,-14.81112308983925,6.735317663725197e-09
1.825,-15.36465775289249,3.87222900610081e-09
1.85,-15.919963253737743,2.2222602553031713e-09
1.875,-16.476381353908508,1.273930127649681e-09
1.9,-17.03305097444532,7.301079275931454e-10
1.9250000000000003,-17.589224017156287,4.186433342537152e-10
1.95,-18.14450037945115,2.402651161348717e-10
1.9750000000000003,-18.69898103922166,1.380011894683542e-10
2.0,-19.253066376385064,7.929515005340014e-11
