distance_m,synthterrain_height_m,estimated_q10_m,estimated_q50_m,estimated_q90_m
-15.0,0.09008898822203854,0.07524462243083296,0.07742807242700293,0.07903259979992208
-14.8,0.09480048685770856,0.07689838956476258,0.07942798633689055,0.08127438059065224
-14.6,0.09927589895139904,0.0785521566986922,0.08142790024677815,0.0835161613813824
-14.399999999999999,0.103607367474959,0.07969430956643073,0.08297322910534162,0.0853407424944389
-14.2,0.10756685816154817,0.08032484149321048,0.08406397291258093,0.0867481306045894
-14.0,0.1112625046162764,0.0809553800947579,0.08515471671982024,0.08815551203997224
-13.799999999999999,0.11443239977269673,0.08024384318768492,0.08504593803130354,0.08845512901058876
-13.599999999999998,0.11720357418151474,0.07953230628061192,0.08493715934278684,0.08875474598120528
-13.399999999999999,0.11928086987117315,0.07798105022836846,0.08407616103832377,0.08835742376161608
-13.2,0.12081323846473926,0.07559008838048985,0.08246293644314671,0.08726315567705353
-12.999999999999998,0.12147405600408538,0.07319911985784358,0.0808497185227373,0.08616888759249097
-12.8,0.12143720320987075,0.0687875990437123,0.07742685094452159,0.08339572854853544
-12.6,0.12034757346514799,0.06437608490434864,0.07400398336630584,0.08062256282981224
-12.4,0.1184068068279185,0.05879039903679272,0.0695316954674193,0.07687582885007974
-12.2,0.11523545697284432,0.05203054144104455,0.06400997389832662,0.07215551993457028
-12.0,0.1110653940241134,0.04527068384529637,0.05848825232923395,0.06743520434429318
-11.799999999999999,0.1054980167356296,0.03586658033074863,0.05061177618942159,0.06053272031323636
-11.600000000000001,0.09879734559377953,0.026462476816200974,0.04273530338699312,0.05363023628217961
-11.400000000000002,0.09055165608962076,0.015613673240296402,0.03357878369178664,0.045543868735988605
-11.200000000000001,0.08105830211931381,0.0033201706459676087,0.023142210429034693,0.03627362101204735
-11.0,0.06989905128381874,-0.008973332365534164,0.012705639669320618,0.02700337495679801
-10.8,0.05740486873490578,-0.02433271197630139,-0.00042991949037775594,0.015243932829360537
-10.600000000000001,0.04315789786571428,-0.0396920899183767,-0.013565479067249107,0.0034844907019230664
-10.4,0.027521953572645398,-0.05663048427138362,-0.028080086733729026,-0.00954216691181641
-10.2,0.010086361218777545,-0.07514788502317067,-0.04397374645296081,-0.023836040846203853
-10.0,-0.00875410208690017,-0.09366528577495771,-0.05986740617219259,-0.038129913946245333
-9.8,-0.029396550621104474,-0.11533639409916584,-0.07848889325083301,-0.05491895036076089
-9.6,-0.0514182867629123,-0.1370075090981416,-0.09711038032947343,-0.07170799011266027
-9.399999999999999,-0.07519724094183793,-0.160201298794251,-0.11703345377612315,-0.08968083661986588
-9.2,-0.10028695342555698,-0.18491776318749356,-0.13825810691601412,-0.10883748654499359
-9.0,-0.1270415795728151,-0.2096342275807359,-0.15948276005590492,-0.12799414314488877
-8.799999999999999,-0.15499606732115612,-0.23718135414130495,-0.1830916936012494,-0.14930377942659714
-8.599999999999998,-0.18447744282708603,-0.26472846735233835,-0.20670061379705837,-0.1706134290578406
-8.4,-0.21500807281322556,-0.2935320388272473,-0.2313478475001556,-0.19285181921050443
-8.200000000000001,-0.2468858529716708,-0.32359204186696167,-0.25703334131240024,-0.21601894988458895
-8.0,-0.2796271949295749,-0.35365207160574663,-0.2827188351246449,-0.23918608055867346
-7.800000000000001,-0.313500233791235,-0.3858129711152411,-0.31009480729293626,-0.2638451819986662
-7.6,-0.3480223977884135,-0.41797384392566495,-0.3374707794612276,-0.28850428343865897
-7.4,-0.38343272375485404,-0.4509388660444117,-0.3654670244384089,-0.3136989148373601
-7.199999999999999,-0.4192566781527244,-0.48470795737426936,-0.3940835689235508,-0.3394290761947698
-7.0,-0.45570598810376745,-0.5184771021022684,-0.4227001134086928,-0.36515923755217955
-6.799999999999999,-0.49232092705140784,-0.5532987775926669,-0.4520613483718634,-0.3915015285019369
