radius_m,height_q10_m,height_q50_m,height_q90_m
0.0,-0.34989641440187175,-0.27401843274477045,-0.23330051177838584
0.025,-0.3496374401993477,-0.2738288598068089,-0.23314273337768845
0.05,-0.34937846599682376,-0.2736393134085278,-0.23298495497699107
0.075,-0.34911949179429974,-0.2734497404705663,-0.23282717657629368
0.1,-0.3488605175917758,-0.27326019407228525,-0.2326693981755963
0.125,-0.34860154338925176,-0.2730706211343237,-0.2325116197748989
0.15,-0.3478244084642356,-0.2725004957173714,-0.2320364798745313
0.17500000000000002,-0.3470473000789,-0.2719303437607386,-0.2315613399741637
0.2,-0.34627016515388387,-0.27136019180410575,-0.2310862266134766
0.22499999999999998,-0.3454930302288677,-0.27079006638715347,-0.230611086713109
0.25,-0.34471589530385155,-0.2702199144305207,-0.2301359468127414
0.275,-0.34342044041826014,-0.26926525558249953,-0.22933853557180722
0.3,-0.34212501207234924,-0.2683105967344783,-0.228541124330873
0.325,-0.3408295571867578,-0.2673559378864572,-0.22774368655025828
0.35000000000000003,-0.3395341023011664,-0.266401279038436,-0.2269462753093241
0.375,-0.3382386739552555,-0.2654466201904149,-0.2261488640683899
0.4,-0.3364262260931148,-0.2641023853720258,-0.22502230770963416
0.42500000000000004,-0.33461377823097416,-0.2627581770933173,-0.22389575135087844
0.44999999999999996,-0.33280133036883347,-0.26141394227492826,-0.2227691949921227
0.475,-0.33098888250669284,-0.26006970745653923,-0.22164263863336697
0.5,-0.32917643464455215,-0.25872549917783066,-0.22051608227461122
0.525,-0.32685198326580023,-0.2569876278179541,-0.21905358663982058
0.55,-0.3245275318870483,-0.25524975645807746,-0.21759109100502994
0.5750000000000001,-0.32220305396861587,-0.25351191163788134,-0.2161285953702393
0.6,-0.3198786025898639,-0.2517740402780047,-0.21466609973544862
0.625,-0.31755415121111197,-0.2500361954578086,-0.21320360410065797
0.65,-0.31472897567997016,-0.24790426292155607,-0.21140089630126854
0.675,-0.3119038266885089,-0.24577230384562299,-0.20959817523203883
0.7000000000000001,-0.30907867769704767,-0.24364037130937044,-0.20779545416280912
0.725,-0.30625352870558636,-0.2415084387731179,-0.20599274636341966
0.75,-0.3034283797141251,-0.23937650623686535,-0.20419002529418995
0.775,-0.3001229952036362,-0.23685656357139567,-0.20204810056822126
0.8,-0.29681763723282784,-0.2343366474456065,-0.19990616257241228
0.8250000000000001,-0.29351227926201945,-0.23181670478013683,-0.1977642245766033
0.8500000000000001,-0.29020689475153055,-0.22929676211466715,-0.19562228658079434
0.8750000000000001,-0.28690153678072217,-0.22677684598887798,-0.1934803485849854
0.8999999999999999,-0.28314821554239966,-0.2238843392882544,-0.19100823042381457
0.925,-0.2793948943040772,-0.22099181931779055,-0.18853611226264375
0.95,-0.27564157306575476,-0.21809931261716697,-0.1860639941014729
0.9750000000000001,-0.27188825182743226,-0.21520680591654337,-0.18359187594030207
1.0,-0.2681349305891098,-0.2123142992159198,-0.18111975777913125
1.0250000000000001,-0.2639796924289772,-0.20907639184315555,-0.17833695284794127
1.05,-0.25982442772916403,-0.20583847120055104,-0.1755541611865915
1.075,-0.25566916302935094,-0.20260056382778682,-0.17277135625540152
1.1,-0.2515139248692183,-0.19936264318518232,-0.1699885645940518
1.125,-0.2473586601694052,-0.19612473581241807,-0.16720575966286177
1.1500000000000001,-0.24286233403521656,-0.192581967129509,-0.1641440492290765
1.175,-0.23836598136134746,-0.18903921171644023,-0.1610823520651315
1.2,-0.23386965522715886,-0.18549645630337142,-0.15802064163134621
1.225,-0.22937330255328972,-0.18195368762046235,-0.15495893119756096
1.25,-0.22487697641910112,-0.17841093220739357,-0.15189722076377568
1.275,-0.22011505443209853,-0.17461788106733114,-0.1486015099668367
1.3,-0.21535314571493622,-0.17082482992726872,-0.1453057991698977
