front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
5.0,0.5,5.0,0.05,1.0,0.3044704761175866,8.2
5.0,0.5,5.0,0.060000000000000005,1.0,0.4360622908635179,14.5
5.0,0.5,5.0,0.07,1.0,0.4720917453063144,17.0
5.0,0.5,5.0,0.08000000000000002,1.0,0.4964286623147613,19.0
5.0,0.5,5.0,0.09000000000000001,1.0,0.5382365613976108,21.0
5.0,0.5,5.0,0.1,1.0,0.5470760817336527,21.0
5.0,0.5,5.0,0.11000000000000001,1.0,0.5714462094368998,23.0
5.0,0.5,5.0,0.12000000000000001,1.0,0.570266188669257,23.0
5.0,0.5,5.0,0.13,1.0,0.5961206742205569,23.3
5.0,0.5,5.0,0.14,1.0,0.6072603211962206,24.9
5.0,0.5,5.0,0.15000000000000002,1.0,0.6167857621793831,25.0
5.0,0.5,5.0,0.16000000000000003,1.0,0.6253698921184335,25.0
5.0,0.5,5.0,0.17000000000000004,1.0,0.6335527394307828,25.0
5.0,0.5,5.0,0.18000000000000005,1.0,0.6340688171130411,25.1
5.0,0.5,5.0,0.19,1.0,0.6517722243879154,25.7
5.0,0.5,5.0,0.2,1.0,0.651083299998613,26.4
5.0,0.5,5.0,0.21000000000000002,1.0,0.6645862604538804,26.8
5.0,0.5,5.0,0.22000000000000003,1.0,0.663797517137727,27.0
5.0,0.5,5.0,0.23000000000000004,1.0,0.6653581732130723,27.0
5.0,0.5,5.0,0.24000000000000005,1.0,0.6692824032864014,27.0
5.0,0.5,5.0,0.25000000000000006,1.0,0.6726908969228129,27.0
5.0,0.5,5.0,0.26000000000000006,1.0,0.6770522752276158,27.0
5.0,0.5,5.0,0.27,1.0,0.6814593681351779,27.0
5.0,0.5,5.0,0.28,1.0,0.6847808996922767,27.0
5.0,0.5,5.0,0.29000000000000004,1.0,0.6929286281781047,27.0
5.0,0.5,5.0,0.30000000000000004,1.0,0.689981435717901,27.0
5.0,0.5,5.0,0.31000000000000005,1.0,0.6930365165002874,27.0
5.0,0.5,5.0,0.32000000000000006,1.0,0.6971206641936158,27.0
5.0,0.5,5.0,0.33,1.0,0.6996861560103853,27.0
5.0,0.5,5.0,0.34,1.0,0.7019263285521051,27.0
5.0,0.5,5.0,0.35000000000000003,1.0,0.7019734836328301,27.0
5.0,0.5,5.0,0.36000000000000004,1.0,0.7040338833498316,27.0
5.0,0.5,5.0,0.37000000000000005,1.0,0.7021827253932733,27.0
5.0,0.5,5.0,0.38000000000000006,1.0,0.711808892436799,27.0
5.0,0.5,5.0,0.39000000000000007,1.0,0.7126497462642487,27.0
5.0,0.5,5.0,0.4000000000000001,1.0,0.7092565053979645,27.0
5.0,0.5,5.0,0.4100000000000001,1.0,0.7100946052301496,27.0
5.0,0.5,5.0,0.42000000000000004,1.0,0.7128913609604464,27.0
5.0,0.5,5.0,0.43000000000000005,1.0,0.7163887970612303,27.0
5.0,0.5,5.0,0.44000000000000006,1.0,0.7186201607006495,27.0
5.0,0.5,5.0,0.45000000000000007,1.0,0.7179204505485983,27.0
5.0,0.5,5.0,0.4600000000000001,1.0,0.7221691694131731,27.0
5.0,0.5,5.0,0.4700000000000001,1.0,0.7229333368910309,27.0
5.0,0.5,5.0,0.4800000000000001,1.0,0.7210494102311313,27.0
5.0,0.5,5.0,0.49000000000000005,1.0,0.7178757814477394,27.0
5.0,0.5,5.0,0.5000000000000001,1.0,0.719561130195676,27.0
5.0,0.5,8.0,0.05,1.0,0.462628229282498,38.7
5.0,0.5,8.0,0.060000000000000005,1.0,0.5021752942153282,42.0
5.0,0.5,8.0,0.07,1.0,0.5314132701936194,43.9
5.0,0.5,8.0,0.08000000000000002,1.0,0.5572683021369597,44.0
5.0,0.5,8.0,0.09000000000000001,1.0,0.5767376323690929,46.0
5.0,0.5,8.0,0.1,1.0,0.5909916444136487,46.0
5.0,0.5,8.0,0.11000000000000001,1.0,0.6148623132787152,46.0
5.0,0.5,8.0,0.12000000000000001,1.0,0.6340169923648931,47.8
5.0,0.5,8.0,0.13,1.0,0.6472763663514722,48.0
5.0,0.5,8.0,0.14,1.0,0.6591172656256749,48.0
5.0,0.5,8.0,0.15000000000000002,1.0,0.6665884027722674,48.0
5.0,0.5,8.0,0.16000000000000003,1.0,0.6734726916646303,48.0
5.0,0.5,8.0,0.17000000000000004,1.0,0.6803936723996031,48.0
5.0,0.5,8.0,0.18000000000000005,1.0,0.6871716539298466,48.4
5.0,0.5,8.0,0.19,1.0,0.6891255345220633,49.6
5.0,0.5,8.0,0.2,1.0,0.6926547428821135,50.0
5.0,0.5,8.0,0.21000000000000002,1.0,0.6969269359285436,50.0
5.0,0.5,8.0,0.22000000000000003,1.0,0.7004927612249869,50.0
5.0,0.5,8.0,0.23000000000000004,1.0,0.7043574197424236,50.0
5.0,0.5,8.0,0.24000000000000005,1.0,0.7080812014995042,50.0
5.0,0.5,8.0,0.25000000000000006,1.0,0.7107081555644486,50.0
5.0,0.5,8.0,0.26000000000000006,1.0,0.7134969943004134,50.0
5.0,0.5,8.0,0.27,1.0,0.7152649529897946,50.0
5.0,0.5,8.0,0.28,1.0,0.7176187368782063,50.0
5.0,0.5,8.0,0.29000000000000004,1.0,0.7203958479427891,50.0
5.0,0.5,8.0,0.30000000000000004,1.0,0.7212880008176414,50.0
5.0,0.5,8.0,0.31000000000000005,1.0,0.7229475085942403,50.0
5.0,0.5,8.0,0.32000000000000006,1.0,0.7258509189014338,50.0
5.0,0.5,8.0,0.33,1.0,0.7257537465682974,50.0
5.0,0.5,8.0,0.34,1.0,0.7278997763002848,50.0
