front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
5.0,1.0,5.0,0.05,1.0,0.2404769861354142,26.8
5.0,1.0,5.0,0.060000000000000005,1.0,0.18484560940198067,47.4
5.0,1.0,5.0,0.07,1.0,0.2123249253656308,52.9
5.0,1.0,5.0,0.08000000000000002,1.0,0.24203346412705126,61.2
5.0,1.0,5.0,0.09000000000000001,1.0,0.3220346744037801,68.6
5.0,1.0,5.0,0.1,1.0,0.35961711796775986,73.5
5.0,1.0,5.0,0.11000000000000001,1.0,0.36070064405235797,77.9
5.0,1.0,5.0,0.12000000000000001,1.0,0.3906340946441414,80.2
5.0,1.0,5.0,0.13,1.0,0.4138122179768179,82.0
5.0,1.0,5.0,0.14,1.0,0.42950255234841095,82.2
5.0,1.0,5.0,0.15000000000000002,1.0,0.43023021583271087,82.8
5.0,1.0,5.0,0.16000000000000003,1.0,0.43232194585524875,83.6
5.0,1.0,5.0,0.17000000000000004,1.0,0.4458242462811947,84.4
5.0,1.0,5.0,0.18000000000000005,1.0,0.4763293518816375,85.6
5.0,1.0,5.0,0.19,1.0,0.49041182517340154,86.1
5.0,1.0,5.0,0.2,1.0,0.4947289311885327,86.6
5.0,1.0,5.0,0.21000000000000002,1.0,0.5061032167977506,87.6
5.0,1.0,5.0,0.22000000000000003,1.0,0.5143957498241336,87.1
5.0,1.0,5.0,0.23000000000000004,1.0,0.5259792942605889,87.6
5.0,1.0,5.0,0.24000000000000005,1.0,0.5341126352426615,88.0
5.0,1.0,5.0,0.25000000000000006,1.0,0.5424561508555131,88.0
5.0,1.0,5.0,0.26000000000000006,1.0,0.5533467785636219,88.0
5.0,1.0,5.0,0.27,1.0,0.5590094130683271,88.0
5.0,1.0,5.0,0.28,1.0,0.5695864060161139,88.0
5.0,1.0,5.0,0.29000000000000004,1.0,0.5739030689306113,88.0
5.0,1.0,5.0,0.30000000000000004,1.0,0.5784535361240912,88.1
5.0,1.0,5.0,0.31000000000000005,1.0,0.5836747953764202,88.4
5.0,1.0,5.0,0.32000000000000006,1.0,0.5995111883476716,89.2
5.0,1.0,5.0,0.33,1.0,0.6108690347224411,90.3
5.0,1.0,5.0,0.34,1.0,0.6178991460870473,90.2
5.0,1.0,5.0,0.35000000000000003,1.0,0.6227900523800338,90.2
5.0,1.0,5.0,0.36000000000000004,1.0,0.6337447329670921,90.9
5.0,1.0,5.0,0.37000000000000005,1.0,0.635831448691273,90.8
5.0,1.0,5.0,0.38000000000000006,1.0,0.644438435930667,91.1
5.0,1.0,5.0,0.39000000000000007,1.0,0.6473514751384893,91.4
5.0,1.0,5.0,0.4000000000000001,1.0,0.6519558282331321,91.5
5.0,1.0,5.0,0.4100000000000001,1.0,0.6560044340370456,91.7
5.0,1.0,5.0,0.42000000000000004,1.0,0.6604025959740883,91.7
5.0,1.0,5.0,0.43000000000000005,1.0,0.6626091857128553,91.7
5.0,1.0,5.0,0.44000000000000006,1.0,0.6689599108085597,91.8
5.0,1.0,5.0,0.45000000000000007,1.0,0.671859350975867,91.9
5.0,1.0,5.0,0.4600000000000001,1.0,0.6724360839887432,91.9
5.0,1.0,5.0,0.4700000000000001,1.0,0.6761582325475997,92.0
5.0,1.0,5.0,0.4800000000000001,1.0,0.6783796641676447,92.0
5.0,1.0,5.0,0.49000000000000005,1.0,0.6779627094213356,92.0
5.0,1.0,5.0,0.5000000000000001,1.0,0.6818805754998505,92.0
5.0,1.0,8.0,0.05,1.0,0.15917584466602558,112.0
5.0,1.0,8.0,0.060000000000000005,1.0,0.3473669667500094,127.2
5.0,1.0,8.0,0.07,1.0,0.3694085417146812,136.9
5.0,1.0,8.0,0.08000000000000002,1.0,0.37673838832750184,141.0
5.0,1.0,8.0,0.09000000000000001,1.0,0.41072576938246536,143.5
5.0,1.0,8.0,0.1,1.0,0.427480766494064,146.7
5.0,1.0,8.0,0.11000000000000001,1.0,0.4680970156983347,150.7
5.0,1.0,8.0,0.12000000000000001,1.0,0.5035847419799369,151.9
5.0,1.0,8.0,0.13,1.0,0.5144685584234184,152.7
5.0,1.0,8.0,0.14,1.0,0.5225622195522224,153.6
5.0,1.0,8.0,0.15000000000000002,1.0,0.5466173183585825,155.0
5.0,1.0,8.0,0.16000000000000003,1.0,0.5554097751269386,155.0
5.0,1.0,8.0,0.17000000000000004,1.0,0.563531483400168,155.0
5.0,1.0,8.0,0.18000000000000005,1.0,0.5732084635034767,155.2
5.0,1.0,8.0,0.19,1.0,0.5820316850107989,155.5
5.0,1.0,8.0,0.2,1.0,0.5862725243365126,156.6
5.0,1.0,8.0,0.21000000000000002,1.0,0.5884648923977998,156.9
5.0,1.0,8.0,0.22000000000000003,1.0,0.5859133319950903,159.0
5.0,1.0,8.0,0.23000000000000004,1.0,0.5849409254880167,159.0
5.0,1.0,8.0,0.24000000000000005,1.0,0.5983161444709666,159.0
5.0,1.0,8.0,0.25000000000000006,1.0,0.5974719801565194,159.2
5.0,1.0,8.0,0.26000000000000006,1.0,0.610259464055484,159.7
5.0,1.0,8.0,0.27,1.0,0.6222138266866268,159.9
5.0,1.0,8.0,0.28,1.0,0.6250071489188562,160.4
5.0,1.0,8.0,0.29000000000000004,1.0,0.6327883091920223,161.0
5.0,1.0,8.0,0.30000000000000004,1.0,0.636435717153382,161.0
5.0,1.0,8.0,0.31000000000000005,1.0,0.6430674496027061,161.0
5.0,1.0,8.0,0.32000000000000006,1.0,0.6530396361300149,161.0
5.0,1.0,8.0,0.33,1.0,0.657507982052362,161.0
5.0,1.0,8.0,0.34,1.0,0.6606483034397075,161.0
5.0,1.0,8.0,0.35000000000000003,1.0,0.6630637356730315,161.0
5.0,1.0,8.0,0.36000000000000004,1.0,0.6668757797902447,161.0
5.0,1.0,8.0,0.37000000000000005,1.0,0.6706393279449938,161.0
5.0,1.0,8.0,0.38000000000000006,1.0,0.6734994670159289,161.1
5.0,1.0,8.0,0.39000000000000007,1.0,0.6761778715409612,163.0
5.0,1.0,8.0,0.4000000000000001,1.0,0.6801128463987436,163.3
5.0,1.0,8.0,0.4100000000000001,1.0,0.6831194372137296,163.3
5.0,1.0,8.0,0.42000000000000004,1.0,0.6873095150474722,163.5
5.0,1.0,8.0,0.43000000000000005,1.0,0.6914157818398342,164.0
5.0,1.0,8.0,0.44000000000000006,1.0,0.6924537075298851,163.6
5.0,1.0,8.0,0.45000000000000007,1.0,0.6951715381912889,164.0
5.0,1.0,8.0,0.4600000000000001,1.0,0.6964812954947014,163.7
5.0,1.0,8.0,0.4700000000000001,1.0,0.6989680229932407,163.9
5.0,1.0,8.0,0.4800000000000001,1.0,0.7027084151114373,164.3
5.0,1.0,8.0,0.49000000000000005,1.0,0.7038011554182239,164.3
5.0,1.0,8.0,0.5000000000000001,1.0,0.7055127326559504,164.4
5.0,1.0,10.0,0.05,1.0,0.24951803146270862,165.0
5.0,1.0,10.0,0.060000000000000005,1.0,0.22032226676299338,173.1
5.0,1.0,10.0,0.07,1.0,0.40958293295371595,181.0
5.0,1.0,10.0,0.08000000000000002,1.0,0.4308122361531724,184.2
5.0,1.0,10.0,0.09000000000000001,1.0,0.4271687494253783,187.0
5.0,1.0,10.0,0.1,1.0,0.4975662186030541,189.1
5.0,1.0,10.0,0.11000000000000001,1.0,0.4861945443634929,190.3
5.0,1.0,10.0,0.12000000000000001,1.0,0.5119980070773154,191.0
5.0,1.0,10.0,0.13,1.0,0.532491506316658,194.9
5.0,1.0,10.0,0.14,1.0,0.5665748062125112,195.0
5.0,1.0,10.0,0.15000000000000002,1.0,0.5720124551359377,195.0
5.0,1.0,10.0,0.16000000000000003,1.0,0.5584981965974032,195.3
5.0,1.0,10.0,0.17000000000000004,1.0,0.5779891523003721,196.0
5.0,1.0,10.0,0.18000000000000005,1.0,0.5869650384884506,196.8
5.0,1.0,10.0,0.19,1.0,0.5932808837405684,196.9
5.0,1.0,10.0,0.2,1.0,0.5945856046381947,197.0
5.0,1.0,10.0,0.21000000000000002,1.0,0.5964741034389951,197.0
5.0,1.0,10.0,0.22000000000000003,1.0,0.60892632364469,197.4
5.0,1.0,10.0,0.23000000000000004,1.0,0.6138520660110136,197.9
5.0,1.0,10.0,0.24000000000000005,1.0,0.6327749530597758,198.7
5.0,1.0,10.0,0.25000000000000006,1.0,0.6386315823856896,199.0
5.0,1.0,10.0,0.26000000000000006,1.0,0.6362533257676581,199.0
5.0,1.0,10.0,0.27,1.0,0.6412036598144646,199.0
5.0,1.0,10.0,0.28,1.0,0.6478934981359645,199.0
5.0,1.0,10.0,0.29000000000000004,1.0,0.6546131784730944,199.0
5.0,1.0,10.0,0.30000000000000004,1.0,0.6552253295483533,199.0
5.0,1.0,10.0,0.31000000000000005,1.0,0.6564632201046803,199.0
5.0,1.0,10.0,0.32000000000000006,1.0,0.6596994290466948,199.0
5.0,1.0,10.0,0.33,1.0,0.6639591349538636,199.0
5.0,1.0,10.0,0.34,1.0,0.667943777430388,199.0
5.0,1.0,10.0,0.35000000000000003,1.0,0.6718146181637659,199.1
5.0,1.0,10.0,0.36000000000000004,1.0,0.6761362776493085,199.2
5.0,1.0,10.0,0.37000000000000005,1.0,0.6796885908466568,199.3
5.0,1.0,10.0,0.38000000000000006,1.0,0.6832468318498436,199.2
5.0,1.0,10.0,0.39000000000000007,1.0,0.6863074516989108,199.4
5.0,1.0,10.0,0.4000000000000001,1.0,0.6888493742616724,199.3
5.0,1.0,10.0,0.4100000000000001,1.0,0.6909302041035424,199.2
5.0,1.0,10.0,0.42000000000000004,1.0,0.6945825943791115,199.7
5.0,1.0,10.0,0.43000000000000005,1.0,0.6963773866030277,199.6
5.0,1.0,10.0,0.44000000000000006,1.0,0.6988456306880031,199.8
5.0,1.0,10.0,0.45000000000000007,1.0,0.7016692739344903,200.3
5.0,1.0,10.0,0.4600000000000001,1.0,0.7040717017696985,200.3
5.0,1.0,10.0,0.4700000000000001,1.0,0.7052320934457782,200.2
5.0,1.0,10.0,0.4800000000000001,1.0,0.7077810631684579,200.5
5.0,1.0,10.0,0.49000000000000005,1.0,0.7098534384267063,200.8
5.0,1.0,10.0,0.5000000000000001,1.0,0.7115989367778294,200.6
