front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
5.0,1.5,5.0,0.05,1.0,0.1333727502184458,37.4
5.0,1.5,5.0,0.060000000000000005,1.0,0.1380594262836988,64.4
5.0,1.5,5.0,0.07,1.0,0.18528234172645214,88.2
5.0,1.5,5.0,0.08000000000000002,1.0,0.20917853294590505,99.5
5.0,1.5,5.0,0.09000000000000001,1.0,0.21491617586007417,108.2
5.0,1.5,5.0,0.1,1.0,0.2832645695362943,113.1
5.0,1.5,5.0,0.11000000000000001,1.0,0.35750304250798176,116.1
5.0,1.5,5.0,0.12000000000000001,1.0,0.3717439636273661,117.2
5.0,1.5,5.0,0.13,1.0,0.42255751888684523,123.6
5.0,1.5,5.0,0.14,1.0,0.4208594178052486,125.6
5.0,1.5,5.0,0.15000000000000002,1.0,0.42896049619113014,128.8
5.0,1.5,5.0,0.16000000000000003,1.0,0.43997095760705385,130.8
5.0,1.5,5.0,0.17000000000000004,1.0,0.4399827220645792,132.5
5.0,1.5,5.0,0.18000000000000005,1.0,0.46926339538723666,134.3
5.0,1.5,5.0,0.19,1.0,0.5165285180606765,137.0
5.0,1.5,5.0,0.2,1.0,0.5179045779605982,138.1
5.0,1.5,5.0,0.21000000000000002,1.0,0.51609152256897,138.8
5.0,1.5,5.0,0.22000000000000003,1.0,0.5246111667785407,139.1
5.0,1.5,5.0,0.23000000000000004,1.0,0.5258788683385452,139.7
5.0,1.5,5.0,0.24000000000000005,1.0,0.5232800879232593,139.9
5.0,1.5,5.0,0.25000000000000006,1.0,0.5305152665819866,142.8
5.0,1.5,5.0,0.26000000000000006,1.0,0.5386797339641043,144.4
5.0,1.5,5.0,0.27,1.0,0.546374579027016,144.6
5.0,1.5,5.0,0.28,1.0,0.5465254453058674,144.8
5.0,1.5,5.0,0.29000000000000004,1.0,0.544118523321246,145.0
5.0,1.5,5.0,0.30000000000000004,1.0,0.5550845306623426,145.5
5.0,1.5,5.0,0.31000000000000005,1.0,0.5585886331885284,146.2
5.0,1.5,5.0,0.32000000000000006,1.0,0.5670588082594099,146.2
5.0,1.5,5.0,0.33,1.0,0.5712898065367493,146.8
5.0,1.5,5.0,0.34,1.0,0.5789475746155427,146.8
5.0,1.5,5.0,0.35000000000000003,1.0,0.585567582826535,146.9
5.0,1.5,5.0,0.36000000000000004,1.0,0.5853406528725602,147.6
5.0,1.5,5.0,0.37000000000000005,1.0,0.5824906785167429,147.8
5.0,1.5,5.0,0.38000000000000006,1.0,0.5958000345233295,147.7
5.0,1.5,5.0,0.39000000000000007,1.0,0.6038337385520393,147.7
5.0,1.5,5.0,0.4000000000000001,1.0,0.603783276365267,147.9
5.0,1.5,5.0,0.4100000000000001,1.0,0.6110627359374179,148.1
5.0,1.5,5.0,0.42000000000000004,1.0,0.6148458371769239,148.4
5.0,1.5,5.0,0.43000000000000005,1.0,0.620606376712966,148.5
5.0,1.5,5.0,0.44000000000000006,1.0,0.6260166940709366,148.6
5.0,1.5,5.0,0.45000000000000007,1.0,0.6190198932837022,148.5
5.0,1.5,5.0,0.4600000000000001,1.0,0.6209836499209329,148.8
5.0,1.5,5.0,0.4700000000000001,1.0,0.6130855388005392,149.0
5.0,1.5,5.0,0.4800000000000001,1.0,0.6193968162066208,148.7
5.0,1.5,5.0,0.49000000000000005,1.0,0.6157324695501496,148.9
5.0,1.5,5.0,0.5000000000000001,1.0,0.6195912218473931,149.1
5.0,1.5,8.0,0.05,1.0,0.22309490284645409,156.0
5.0,1.5,8.0,0.060000000000000005,1.0,0.30010160810628783,187.8
5.0,1.5,8.0,0.07,1.0,0.31033380046668707,205.5
5.0,1.5,8.0,0.08000000000000002,1.0,0.3512474468321693,215.6
5.0,1.5,8.0,0.09000000000000001,1.0,0.3850024639992959,221.7
5.0,1.5,8.0,0.1,1.0,0.4251243994415182,229.0
5.0,1.5,8.0,0.11000000000000001,1.0,0.47423748940401717,232.9
5.0,1.5,8.0,0.12000000000000001,1.0,0.46545134578222164,235.0
5.0,1.5,8.0,0.13,1.0,0.4692174046624752,237.9
5.0,1.5,8.0,0.14,1.0,0.5097179892872346,240.8
5.0,1.5,8.0,0.15000000000000002,1.0,0.5128252347315,242.1
5.0,1.5,8.0,0.16000000000000003,1.0,0.5383780392888984,245.6
5.0,1.5,8.0,0.17000000000000004,1.0,0.5401533012198427,246.8
5.0,1.5,8.0,0.18000000000000005,1.0,0.5544624819653727,247.0
5.0,1.5,8.0,0.19,1.0,0.551467826645727,247.0
5.0,1.5,8.0,0.2,1.0,0.5507794897854768,247.0
5.0,1.5,8.0,0.21000000000000002,1.0,0.5512841667535227,247.1
