vertical_sigma_deg,dp,cr
0.0,1.0,0.8303077841532547
0.1,1.0,0.5356108185608514
0.2,0.3333333333333333,0.28137769839822013
0.30000000000000004,0.16666666666666666,0.02287449638855681
0.4,0.0,0.0
0.5,0.16666666666666666,0.016123479414579072
