range_sigma_m,dp,cr
0.0,1.0,0.8303077841532547
0.02,1.0,0.775561992321076
0.04,1.0,0.6592886773100438
0.06,1.0,0.525540730694794
0.08,1.0,0.42318870488165183
0.1,1.0,0.38787340604369014
0.12,1.0,0.2523034856863357
