radius_mid,count,volume,terrain_frequency
4.0,2,186.15052843853388,0.002375803249872426
4.0,3,216.1737629241441,0.0027096659475254986
4.0,4,303.0285562474587,0.002640335341739394
4.0,5,278.13238561136865,0.0026675401449430146
4.0,6,496.0985412837844,0.0025311218111457087
4.0,7,733.0642717792779,0.003328023760807439
4.0,8,641.2778910483787,0.0025532204560017747
4.0,9,692.9713578570723,0.002669229936800196
4.0,10,880.0035206042287,0.0027724871226917722
4.0,11,782.962885643639,0.0028969284675355892
4.0,12,789.0513584884028,0.002692925898029161
4.0,13,1150.723415652124,0.0025059111978654016
4.0,14,979.9986520461755,0.0034429835282706127
4.0,15,1520.5621671656759,0.0031535401753940246
4.0,16,1150.626738909105,0.003048874304593955
4.0,17,1209.1738618115876,0.0029297955143569973
6.5,2,675.6161685640022,0.001865943678414765
6.5,3,1262.707260969111,0.001774338775574492
6.5,4,1045.4247262266658,0.002090319418576466
6.5,5,1124.0126128477943,0.002418516368643393
6.5,6,1886.4432398419092,0.0025235712037747844
6.5,7,1718.1500384661463,0.0023076785948186952
6.5,8,2610.9369893692365,0.0026248336134601443
6.5,9,2756.772864054632,0.0029997854786123837
6.5,10,2795.3887197108206,0.0032439089881095276
6.5,11,3469.5700663392076,0.003421271839176762
6.5,12,3654.5902187618676,0.0022734458547306576
6.5,13,4568.467582488832,0.003282080590737325
6.5,14,3691.204468795524,0.0027121516330009857
6.5,15,5150.094612305947,0.0035298674346875957
6.5,16,5246.27299802293,0.0031624710404464774
6.5,17,4812.490059697037,0.003102736565640828
9.0,2,1948.00011127671,0.0016158778621816682
9.0,3,2899.8813504987943,0.0016821573713125006
9.0,4,3568.9206054666415,0.003475532916803354
9.0,5,3564.5657972270983,0.0032555449940361316
9.0,6,5696.419430511333,0.002583599296281739
9.0,7,5367.575685372174,0.0027550037525673012
9.0,8,6664.334381574767,0.0031692350989285176
9.0,9,8262.486371472405,0.003003097601784112
9.0,10,9208.531706219574,0.0029190019809747373
9.0,11,10979.806356615301,0.003114433369437191
9.0,12,10076.370524573797,0.0028233766935293696
9.0,13,9262.067991930593,0.0032222752557725574
9.0,14,12929.98602880742,0.0034433859968620866
9.0,15,12104.745667292565,0.0032260118373074317
9.0,16,13115.314725915141,0.0030522891387658683
9.0,17,13598.615024341301,0.003531538528229877
11.5,2,3803.3005619173555,0.0015308809551983448
11.5,3,4193.7360843194465,0.0017469758999127507
11.5,4,7498.100879042775,0.00295702497841923
11.5,5,6483.380259800657,0.0030378647696062315
11.5,6,9631.8042141385,0.003208291759289766
11.5,7,12803.599139367398,0.0025285939275690767
11.5,8,12300.759052367082,0.003231918888516849
11.5,9,17353.189407906593,0.003247383055313012
11.5,10,19410.46061378954,0.0034257415394902276
11.5,11,15097.963589190924,0.002947919386527135
11.5,12,21659.347897231757,0.0032566486778757378
11.5,13,22226.23405173102,0.0036291433230242853
11.5,14,24874.663835363757,0.0034520549789763414
11.5,15,27567.364615893384,0.0035743397361819337
11.5,16,25651.53030797106,0.003410517857172364
11.5,17,30470.28449423173,0.003316728503730615
