distance_m,synthterrain_height_m,estimated_q10_m,estimated_q50_m,estimated_q90_m
-15.0,0.09008898822203854,0.07192006750544673,0.07443676862646012,0.07855985938056913
-14.8,0.09480048685770856,0.0731569620253179,0.07605318376057753,0.08075756668045583
-14.6,0.09927589895139904,0.0743938565451891,0.0776695922199273,0.08295527398034254
-14.399999999999999,0.103607367474959,0.0751067284057936,0.07882120990820435,0.08477141818707977
-14.2,0.10756685816154817,0.07529558428189911,0.07950803682540873,0.08620600597543518
-14.0,0.1112625046162764,0.07548444015800461,0.0801948637426131,0.08764058708902295
-13.799999999999999,0.11443239977269673,0.07432875753622403,0.07968332957363389,0.08807745063221603
-13.599999999999998,0.11720357418151474,0.07317308158921113,0.07917180207942233,0.08851431417540914
-13.399999999999999,0.11928086987117315,0.07118978117602338,0.07792131105783251,0.0883309916816918
-13.2,0.12081323846473926,0.06837885629666085,0.07593184315932913,0.08752748315106408
-12.999999999999998,0.12147405600408538,0.06556793141729832,0.07394238193559338,0.08672397462043635
-12.8,0.12143720320987075,0.060790386369124566,0.07019761033755226,0.08444143102362095
-12.6,0.12034757346514799,0.056012847995718436,0.0664528387395111,0.08215888742680554
-12.4,0.1184068068279185,0.05010371623700818,0.06170015052609439,0.07902609857622353
-12.2,0.11523545697284432,0.04306300444252913,0.055939539022534485,0.07504307114664262
-12.0,0.1110653940241134,0.03602229264805008,0.0501789308563584,0.07106003704229404
-11.799999999999999,0.1054980167356296,0.026453272311600995,0.04217416901954986,0.06518596783808941
-11.600000000000001,0.09879734559377953,0.016884253643843904,0.034169410520125225,0.059311891959117194
-11.400000000000002,0.09055165608962076,0.00594258652855634,0.024952122071471596,0.052419046292557975
-11.200000000000001,0.08105830211931381,-0.006371726531223577,0.014522302004897273,0.04450742416364426
-11.0,0.06989905128381874,-0.018686038756657537,0.004092484024187844,0.03659580537211438
-10.8,0.05740486873490578,-0.03389871531776922,-0.008882003188366475,0.026555871833958623
