diffusion_amount_m2,log_likelihood,likelihood
0.0,-1.1090980497759664,0.005920753001468932
0.4,-0.35673163125186336,0.012563930569629969
0.8,-0.10376990959661259,0.016180256706639414
1.2000000000000002,0.03932530004908874,0.018669421785474555
1.6,0.1435474878349826,0.02072020217060351
2.0,0.2334001523952105,0.022668172297063634
2.4000000000000004,0.31149037873152907,0.024509285984313615
2.8000000000000003,0.38121947327996053,0.026279289567665915
3.2,0.44701499984846926,0.028066499784039977
3.6000000000000014,0.5116215713276631,0.02993963710285415
4.0,0.5756379579616764,0.0319189425767754
4.3999999999999995,0.6382522616690773,0.033981421487972674
4.800000000000001,0.6977439889116779,0.03606438003835829
5.200000000000001,0.7525386793611866,0.03809566004781831
5.6000000000000005,0.7985649950021363,0.03989004052275688
6.0,0.8327641167705764,0.041277840384911835
6.4,0.8580313672996922,0.042334106189846406
6.800000000000001,0.8743191391391154,0.043029280504217324
7.200000000000003,0.8771033152854619,0.04314924852915259
7.599999999999999,0.8658630089768444,0.04266695340907207
8.0,0.8431709744610825,0.04170965602027616
8.400000000000002,0.8079394071226202,0.04026574445246756
8.799999999999999,0.7572392346070602,0.03827515232869902
9.200000000000001,0.6909269083851899,0.035819362357014065
9.600000000000001,0.6123963983234331,0.03311406395694539
10.0,0.5234483780751129,0.03029582956284304
10.400000000000002,0.4215907603916491,0.027361924964494976
10.8,0.3050426602548606,0.024351765378201447
11.200000000000001,0.17629889363437012,0.02141005304997752
11.600000000000001,0.038223494242748846,0.018648863036104843
12.0,-0.10952903176688866,0.0160873404463831
12.4,-0.2684875815716261,0.013723011635984812
12.8,-0.43791354268242033,0.011584270008248045
13.200000000000001,-0.6159169570744314,0.009695333911324204
13.600000000000001,-0.8020000173445871,0.00804911115199238
14.000000000000004,-0.9961258148396017,0.006628880073713603
14.400000000000006,-1.198434598309535,0.005414752042076986
14.799999999999999,-1.4089857815027214,0.004386694162578767
15.199999999999998,-1.6274493180550424,0.003525817656731115
15.6,-1.8546742637685791,0.0028091653844246845
16.0,-2.091281320955889,0.002217278107251751
16.400000000000002,-2.338323598621609,0.0017319329348210511
16.800000000000004,-2.5971883230059585,0.001336926554793329
17.200000000000003,-2.869013101446223,0.001018721678897181
17.599999999999998,-3.1556043797997373,0.0007648751255748182
18.0,-3.458720582197788,0.000564870433472993
18.400000000000002,-3.780130594132074,0.00040960217002639613
18.8,-4.121554470008111,0.00029112784359092863
19.200000000000003,-4.484620929516553,0.00020249112050816558
19.599999999999998,-4.871085588073029,0.00013758355120416945
20.0,-5.28164777087935,9.125604117055498e-05
20.400000000000002,-5.716915603848123,5.9050993186118856e-05
20.800000000000004,-6.177792347901494,3.724525737239111e-05
21.200000000000003,-6.663780952961089,2.290914126527999e-05
21.6,-7.174137055965812,1.3751940064967548e-05
22.0,-7.7087569248038195,8.057151168144984e-06
22.400000000000002,-8.26677981306163,4.611426073654863e-06
22.800000000000004,-8.846212656328575,2.583394700457404e-06
23.200000000000003,-9.44603222622693,1.4180529085841166e-06
23.6,-10.065677818374162,7.63104076545827e-07
24.0,-10.702729598027997,4.0356705072829153e-07
24.4,-11.355481107496194,2.101015819317047e-07
24.8,-12.023138109592718,1.0776297454536056e-07
25.200000000000003,-12.704053856173513,5.4544582160623297e-08
25.6,-13.395931529843855,2.7306935427699334e-08
26.000000000000004,-14.098006226729511,1.3532118636829398e-08
26.400000000000002,-14.809145852563173,6.645410009235706e-09
26.800000000000004,-15.526790925138359,3.2422946991643344e-09
27.200000000000003,-16.250391396071677,1.5725222338563058e-09
27.600000000000005,-16.978880473204082,7.58958463437637e-10
28.000000000000007,-17.71012095391021,3.6529548346316715e-10
28.400000000000006,-18.443937370858123,1.7536861899900694e-10
28.80000000000001,-19.178502474311635,8.412678863825086e-11
29.200000000000003,-19.9133349089427,4.034601442647162e-11
29.599999999999998,-20.64690469485684,1.937382307477755e-11
30.0,-21.37870834513927,9.31959505374296e-12
30.399999999999995,-22.10771016844038,4.495681886397103e-12
30.799999999999997,-22.833128089286262,2.1764594139360856e-12
31.2,-23.555027784727237,1.0573859093688211e-12
31.599999999999998,-24.274277516931402,5.150712732634323e-13
32.0,-24.991120272051813,2.515049146382266e-13
